,Unnamed: 0,price,location,sqm,extra,text,link,rooms,Épület típusa,Közös költség,Fűtés,Minimum bérlési idő,Berendezés,Emelet,Lift,Kilátás,Erkélyek száma,Min. bérlési idő,Energiatanúsítvány,Ház jellege,Ingatlan állapota,Komfort fokozat,Parkolási lehetőség,Épület szintjei,Rezsi költség,Beköltözhető,Mosógép van,Építés éve,Melegvíz,Konyhai szellőzés,Tájolás,Belmagasság,Közös költségben,Városrész,Különnyíló szoba,Amerikai konyha,Gyermekbarát,Hall,Kisállat,Kábeltévé szolgáltató,Kaució,Diákoknak,Hónapokra is,Bérleti díj hónapokra,Kaució hónapokra,Társasház neve,Dohányzás
420,420,195000,"Bácskai utca Budapest, XIV. kerület",35,"{'Épület típusa': 'Lakás', 'Városrész': 'Zugló', 'Kaució': '390 000 Ft', 'Közös költség': '10 000 Ft/hó', 'Rezsi költség': '6 000 Ft/hó', 'Fűtés': 'Gázkazán', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-03-30', 'Berendezés': 'Berendezett, gépesített', 'Emelet': 'Földszint', 'Kilátás': 'Kertre néző', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Kis társasház', 'Építés éve': '2006', 'Ingatlan állapota': 'Jó', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '4', 'Közös költségben': 'Épület takarítás, Szemétszállítás'}","
Lakás jellemzők: Fürdőkád, Kertkapcsolat Felszereltség: Sarokkád Részletek
KIADÓ ZUGLÓBAN A BÁCSKAI UTCÁBAN  35 NM-ES 1 SZOBÁS BÚTOROZOTT GÉPESÍTETT FÖLDSZINTI ERKÉLYES (10nm)
VILÁGOS CSENDES KERTKAPCSOLATOS LAKÁS.

KISÁLLAT NEM HOZHATÓ!

EGY MAX 2 FŐ RÉSZÉRE REMEK VÁLASZTÁS LEHET.

KIVÁLÓ KÖRNYÉK PÁR PERC SÉTÁVAL SZINTE MINDEN ELÉRHETŐ.

ÁPRILIS 1-TŐL KÖLTÖZHETŐ 1 HAVI BÉRLETI DÍJ 2 HAVI KAUCIÓ ELLENÉBEN.

KÉRDÉS ESETÉN HÍVJ BÁTRAN.
Közlekedés: Metro 2 piros
Közlekedés egyéb: 7,8E,108E,110,112,133 buszok 82,82A troli
",https://www.alberlet.hu/kiado_alberlet/budapest-XIV-kerulet-bacskai-utca-35m2-1-szoba_743890,1.0,Lakás,10 000 Ft/hó,Gázkazán,Legalább 1 év,"Berendezett, gépesített",Földszint,,Kertre néző,,Legalább 1 év,Nem adott,Kis társasház,Jó,Összkomfortos,Fizetős parkoló övezet,4,6 000 Ft/hó,2024-03-30,Igen,2006,,,,,"Épület takarítás, Szemétszállítás",Zugló,,,,,,,390 000 Ft,,,,,,
421,421,235000,"Balázs Béla utca Budapest, IX. kerület",48,"{'Épület típusa': 'Lakás', 'Közös költség': '12 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-22', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '2', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2000 után épült (Újszerű)', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Összkomfortos', 'Tájolás': 'Északkelet', 'Épület szintjei': '6', 'Közös költségben': 'Épület takarítás, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Fürdőkád, Biztonsági ajtó, Műanyag ablak Épület jellemzők: Akadálymentesített Felszereltség: Klíma Részletek
A IX. kerületben, a Balázs Béla utcában kínálunk kiadásra egy 48 nm-es, 1+1 félszobás, ERKÉLYES lakást egy újszerű ház második emeletén.
A lakás BÚTOROZOTT és GÉPESÍTETT állapotban keresi lakóit.

ELOSZTÁS
A 48 nm-es lakásban helyt kapott egy amerikai konyhás nappali, egy hálószoba, és egy KÁDAS fürdőszoba wc-vel. A lakáshoz tartozik egy 2 nm-es ERKÉLY is!
Az újszerű ház 2.emeletén helyezkedik el az ingatlan. A társasház tiszta, és rendezett lakóközösséggel rendelkezik.

KÖLTSÉGEK
Közös költség: 12.000 Ft/hó
Fűtés-melegvíz fogyasztási előleg: 9.000 Ft/hó (féléves elszámolással)
Iternet+TV: 8.000 Ft/hó
Víz, áram: Fogyasztás alapján fizetendő

ELHELYEZKEDÉS
Elhelyezkedése kiváló, számos lehetőség adódik a tömegközlekedés szempontjából (M3, 4-6-os, 2-es villamos).
A közelben található SOTE, Nemzeti Közszolgálati Egyetem, Ráday utca, bevásárlási lehetőségek stb.

EGYÉB
KLIMATIZÁLT
ERKÉLYES
Kisállattal sajnos nem költözhető
Lift van!

2 havi kaucióval és az aktuális bérleti díjjal AZONNAL költözhető, minimum 1 éves tartamra!

KERESŐ ÜGYFELEINK SZÁMÁRA SZOLGÁLTATÁSUNK DÍJMENTES!
Közlekedés: 4-es 6-os villamos, Metro 3 kék
",https://www.alberlet.hu/kiado_alberlet/budapest-IX-kerulet-balazs-bela-utca-48m2-2-szoba_745027,1.5,Lakás,12 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",2,Van,Utcai,1,Legalább 1 év,Nem adott,2000 után épült (Újszerű),Felújított,Összkomfortos,,6,,2024-04-22,Igen,,,,Északkelet,,"Épület takarítás, Szemétszállítás, Lift üzemeltetés",,,Van,,,,,,,,,,,
422,422,260000,"Budafoki út Budapest, XI. kerület",41,"{'Épület típusa': 'Lakás', 'Városrész': 'Budapart', 'Közös költség': '25 000 Ft/hó', 'Fűtés': 'Mennyezeti hűtés-fűtés', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-06-01', 'Berendezés': 'Üres, gépesített', 'Különnyíló szoba': '1', 'Emelet': '2', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2018 után épült (Újépítésű)', 'Építés éve': '2024', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Melegvíz': 'Házközponti egyedi mérővel', 'Konyhai szellőzés': 'Ablak', 'Parkolási lehetőség': 'Mélygarázs', 'Épület szintjei': '10+', 'Közös költségben': 'Épület takarítás, Parkfenntartás, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Biciklitároló, Fürdőkád, Tároló, Terasz, Zárható szobaajtó, Műanyag ablak Épület jellemzők: Elektromos garázskapu, Játszótér, Tetőkert, Akadálymentesített Részletek
JÚNIUS 1-TŐL KIADÓ LAKÁS a Metrodom River projektben! EGY RITKA LEHETŐSÉG, hogy ebben a népszerű, jól megközelíthető lakóparkban vegyen ki lakást!

Legyen Ön ennek a Budafoki úton frissen átadott, 2. emeleti lakásnak az első lakója!

A nappali + 1 hálószobás lakás gondosan tervezett kialakítás, modern, ízlésesen kiválasztott anyagok jellemzik.

A fotók között alaprajz is található. Az erkély a nappaliból megközelíthető. Minden szoba világos, az ablakok az utcára néznek.

A képeken jól látható, hogy a lakásban még folyamatban van a konyha kialakítása és a lámpák felszerelése.

A konyha gépesítésre kerül, azonban a lakás üresen, bútorok és egyéb gépesítés nélkül válik kiadóvá.

Gondtalan, valódi otthona lesz a lakás leendő lakójának. A lakópark kertjében sétányok, játszótér, pihenő-beszélgető helyek találhatók, ahol élvezheti a szabadidő eltöltését, egyben biztonságban tudhatja magát és családját ebben a zárt, őrzött komplexumban. 

KÖLTSÉGEK:
A lakás bérleti díja 260 000 ft / hó
A lakáshoz tartozó garázs bérleti díja 25 000 ft / hó
A lakáshoz tartozó garázs bérleti díja 10 000 ft / hó

Lakás közös költsége: 600 Ft /hó/m2
Tároló közös költsége: 600 Ft /hó/m2
Beálló közös költsége: 8.250 Ft /hó

Rezsi (áram-, víz- és fűtési és hűtési számlák) fogyasztás alapján fizetendők.

OKOS OTTHON: A lakás fel van szerelve a fűtést és hűtést, a redőnyöket és a világítást is vezérlő okosotthon-rendszerrel, melyhez különálló a videókaputelefon is tartozik. 

INTERNET: A közös területeken optikai, illetve Cat5e-s kábelek, a lakásokon belül Cat6-os kábelek gondoskodnak a zavartalan szolgáltatásról és a valóban szélessávú adatátvitelről.

DUNA: A sétányon körülbelül 10-12 perc alatt lehet eljutni a Kopaszi-gát déli bejáratához, a lakástól kb. 100 méterre pedig egészen a közvetlen vízpartig le lehet sétálni.  
A Metrodom River épületei már első pillantásra is különlegesek. A lakópark a minőséget képviseli, szolgáltatásai sokoldalúak, egyedülállóak. 

ÁTRIUM: A szokásos szűk folyosók minden épületben 5 emelet magas, tágas és világos átrium kerület kiakalíkásra, melynek teteje is üvegből van, így lenyűgöző 18 méter magas tér fogadja a belépőket. 

KIKAPCSOLÓDÁS: A kikapcsolódásra, pihenésre a hatalmas belső park mellett minden épületen az egyik torony tetején kialakított, bútorozott kilátó és napozóteraszokon is lehetőség van. Itt egyaránt lehet egyedül vagy társaságban napozni, olvasgatni, vagy csak bámulni 45 méter magasból a lenyűgöző körpanorámát, a naplementét. Aki az aktívabb szórakozásra vágyik, annak a 3. épületben lévő játékszobát ajánljuk, ahol többek között csocsó és darts várja a lakókat. Ha pedig enni, inni is szeretnénk, a fogadóépületben lévő kávézóban hideg és forró italokból, szendvicsekből és péksüteményekből lehet választani.
A lakóparkban biciklitároló is található.

SPORT: A Duna parti sétány bizonyára minden kocogó szeretni fogja, de a sportoláshoz sem szükséges elhagyni a lakóparkot. Az A épületben található változatos kardio és erőgépekkel felszerelt fitneszteremhez az öltözőkön és a mellékhelyiségeken kívül infra és finnszauna is tartozik, hogy edzés után lazításra is lehetőség legyen. Jó időben igény szerint a kertben a kültéri gépeken is lehet edzeni. 

GYERMEKBARÁT: Amennyiben kisgyerekkel venné ki a lakást, ajánljuk figyelmébe a két korosztályos játszóteret, ahol nem csak a sok játékra, de az esztétikus megjelenésre is kiemelt figyelmet fordítottak a tervezők. Nem csak különlegességnek számít, de a gyerekek körében is biztosan nagyon népszerű lesz, hogy a megszokotton kívül vizes játékok is várják majd a kicsiket, akik télen vagy rossz időben két épületben is található játszóházban szórakozhatnak mialatt a szülők kényelemesen helyezkedve beszélgethetnek egymással. Ráadásul óvoda és bölcsöde is működik a lakóparkban és külön babakocsi tároló is rendelkezésre áll.

TÖMEGKÖZLEKEDÉS: A lakópark tömegközlekedés szempontjából is kiemelkedően jó adottságokkal rendelkezik. A lakóparktól 1 percre található a 133E busz megállója, mellyel átszállás nélkül lehet eljutni a pesti belvárosba (Március 15. tér - Ferenciek tere – Blaha Lujza tér – Keleti PU). Ugyanitt van a 103-as busz megállója is, mellyel néhány perc alatt elérhető a 4-es metró Bikás parki állomása. Szintén egy rövid, 8 perces sétára van az 1-es, illetve a 41-es villamos is. Előbbi a Kelenföldi vasútállomást köti össze a Rákóczi hídon keresztül a Népligettel, a Puskás Ferenc stadionnal, és a Városligettel, utóbbival a budai fonódó villamos pályáján érhető el a Szent Gellért tér, a Batthyány tér, a Clark Ádám tér és a Margit híd budai hídfője. A tömegközlekedés éjszaka is megoldott, ezt a 1-es villamos vonalán közlekedő 901 busz biztosítja.

",https://www.alberlet.hu/kiado_alberlet/budapest-XI-kerulet-budafoki-ut-41m2-2-szoba_744406,1.5,Lakás,25 000 Ft/hó,Mennyezeti hűtés-fűtés,Legalább 1 év,"Üres, gépesített",2,Van,Utcai,1,Legalább 1 év,Nem adott,2018 után épült (Újépítésű),Kiváló,Összkomfortos,Mélygarázs,10+,,2024-06-01,,2024,Házközponti egyedi mérővel,Ablak,,,"Épület takarítás, Parkfenntartás, Szemétszállítás, Lift üzemeltetés",Budapart,1,Van,,,,,,,,,,,
423,423,320000,"Corvin sétány Budapest, VIII. kerület",54,"{'Épület típusa': 'Lakás', 'Közös költség': '24 000 Ft/hó', 'Rezsi költség': '15 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '2', 'Lift': 'Van', 'Kilátás': 'Utcai, világos', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2018 után épült (Újépítésű)', 'Építés éve': '2022', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Tájolás': 'Délkelet', 'Épület szintjei': '8', 'Közös költségben': 'Épület takarítás, Lift üzemeltetés'}","
Lakás jellemzők: Fürdőkád Részletek
KIADÓ a 8. kerületben A CORVIN SÉTÁNYON egy 2 szobás, 54nm-es KLIMATIZÁLT lakás!

Kiadó a 8 kerület egy frekventált részén, a CORVIN PLÁZA szomszédságában egy teljesen gépesített és bútorozott lakás.
A lakás fekvésének köszönhetően nagyon CSENDES és VILÁGOS!
Elosztása alapján:
- amerikai konyhás nappali
- hálószoba
- fürdőszoba
- külön wc-vel
- 11nm-es erkély

Számtalan bevásárlási és tömegközlekedési eszköz megtalálható a közvetlen közelben.
A közös költség: 24.000 Forint/hó
A rezsi minimális, fogyasztás alapján fizetendő.

Gyermekkel és kisállattal sajnos nem költözhető!
1 havi lakbér és 2 havi kaució ellenében AZONNAL költözhet
",https://www.alberlet.hu/kiado_alberlet/budapest-VIII-kerulet-corvin-setany-54m2-2-szoba_743500,2.0,Lakás,24 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",2,Van,"Utcai, világos",1,Legalább 1 év,Nem adott,2018 után épült (Újépítésű),Kiváló,Összkomfortos,Fizetős parkoló övezet,8,15 000 Ft/hó,,Igen,2022,,,Délkelet,,"Épület takarítás, Lift üzemeltetés",,,Van,,,,,,,,,,,
424,424,390000,"Fischer István utca Budapest, XIV. kerület",68,"{'Épület típusa': 'Lakás', 'Közös költség': '35 000 Ft/hó', 'Rezsi költség': '15 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-08', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '3', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Kisállat': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2018 után épült (Újépítésű)', 'Építés éve': '2021', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Duplakomfortos', 'Parkolási lehetőség': 'Mélygarázs', 'Tájolás': 'Délkelet'}","
Felszereltség: Klíma Részletek
Hosszútávra kiadó a XIV. kerületben, a Thermál Zugló 3 by Cordia Lakóparkban egy 68 nm-es, 3 szobás lakás.

Az ingatlan ÚJ ÉPÍTÉSŰ, BÚTOROZOTT, GÉPESÍTETT(mosogatógép is).
Mindhárom szobája KÜLÖN NYÍLÓ, napfényes, tágas, panorámás kilátással.
KLÍMÁVAL felszerelt, a nappaliból nyílik egy 8 nm-es TERASZ.
A fürdőszoba(kádas) és a mellékhelyiség egy légtérben található, de van egy különálló wc is.

Közös költség 35.000 Ft/hó.

Kisállat HOZHATÓ.

A lakáshoz tartozik TEREMGARÁZS, melynek bérlése opcionális, díja +30.000 Ft/hó.

2 havi kaució és egy havi lakbér ellenében AZONNAL költözhető.
",https://www.alberlet.hu/kiado_alberlet/budapest-XIV-kerulet-fischer-istvan-utca-68m2-3-szoba_727899,3.0,Lakás,35 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",4,Van,Panorámás,1,Legalább 1 év,Nem adott,2018 után épült (Újépítésű),Felújított,Duplakomfortos,Mélygarázs,,15 000 Ft/hó,2024-04-08,,2021,,,Délkelet,,,,3,,,,Igen,,,,,,,,
425,425,780000,"Erzsébet körút Budapest, VII. kerület",112,"{'Épület típusa': 'Lakás', 'Városrész': 'Erzsébetváros', 'Közös költség': '24 000 Ft/hó', 'Rezsi költség': '19 000 Ft/hó', 'Fűtés': 'Padlófűtés', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-15', 'Berendezés': 'Luxus', 'Különnyíló szoba': '2', 'Emelet': '1', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Összkomfortos', 'Épület szintjei': '3'}","
Részletek
Erzsébet körúton közvetlenül a Corinthia Hotellel szemben, elegáns, minőségi luxuslakás KIADÓ.
A tágas, 112nm-es, elegáns, EGYEDI DESIGN MEGOLDÁSOK alkalmazásával átépített és luxus szinten felújított nagypolgári lakás (nappali + 2 szoba, nagyméretű étkező konyha, 1 db fürdőszoba, külön wc) egy szépen karbantartott, három emeletes társasház első emeletén helyezkedik el.

A lakás TELJES szerkezeti, esztétikai felújításon esett át, mely során kizárólag LUXUS minőségű anyagokat használtak fel.
Padlófűtés,légkondicionáló,elektromos redőny teszi még kényelmesebbé a lakást.

A lakás fenntartása rendkívül alacsony.

2 havi kaució és az első havi bérleti díj megfizetése után akár azonnal költözhető az ingatlan.

További információkért, megtekintéssel kapcsolatban hívjon bizalommal.
",https://www.alberlet.hu/kiado_alberlet/budapest-VII-kerulet-erzsebet-korut-112m2-3-szoba_744461,3.0,Lakás,24 000 Ft/hó,Padlófűtés,Legalább 1 év,Luxus,1,Van,Utcai,,Legalább 1 év,Nem adott,,Felújított,Összkomfortos,,3,19 000 Ft/hó,2024-04-15,,,,,,,,Erzsébetváros,2,,,,,,,,,,,,
426,426,189000,"Lövölde tér Budapest, VII. kerület",22,"{'Épület típusa': 'Lakás', 'Fűtés': 'Gáz, konvektor', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '2', 'Lift': 'Van', 'Kilátás': 'Udvari', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Társasház', 'Komfort fokozat': 'Komfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '4'}","
Részletek
VII. ker L Ö V Ö L D E  TÉREN kiadó 22 nm-es, 1 szobás lakás, bútorozva, gépesítve.
Kisállat nem hozható.

Új konyhabútorral, gépekkel, mosó szárító géppel. A felújított szép lakás a 2. emeleten található, kívül-belül nagyon szép házban, jó lépcsőházzal, kedves előzékeny lakóközösséggel, szép felújított lifttel.

Az ingatlan minimum 1 évre kiadó 2 havi kaucióval.
Bérleti díj: 189 000 Ft/hó
Hétvégén  is hívhat!

",https://www.alberlet.hu/kiado_alberlet/budapest-VII-kerulet-lovolde-ter-22m2-1-szoba_738761,1.0,Lakás,,"Gáz, konvektor",Legalább 1 év,"Berendezett, gépesített",2,Van,Udvari,,Legalább 1 év,Nem adott,Társasház,,Komfortos,Fizetős parkoló övezet,4,,,,,,,,,,,,,,,,,,,,,,,
427,427,300000,"Csengery utca Budapest, VI. kerület",57,"{'Épület típusa': 'Lakás', 'Városrész': 'Terézváros', 'Közös költség': '15 000 Ft/hó', 'Rezsi költség': '27 000 Ft/hó', 'Fűtés': 'Padlófűtés', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-15', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '1', 'Emelet': '1', 'Lift': 'Van', 'Kilátás': 'Udvari', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Összkomfortos'}","
Részletek
Csendes Elegancia a Város Szívében: Egyedi Otthon az Oktogonnál

Fedezze fel ezt a frissen felújított és igényesen berendezett 57 m²-es lakást Budapest VI. kerületének szívében, az Oktogon és az Andrássy út szomszédságában, néhány lépésre van a város legjobb éttermeitől, kávézóitól és kulturális látnivalóitól. A lakás az első emeleten található, csendes, udvarra néző ablakokkal, így nyugalom és béke várja Önt a városi nyüzsgés után.

Lakás jellemzői:
•Elrendezés: Tágas nappali, kényelmes hálószoba, praktikus konyha
•Fürdőszoba: Kádas-zuhanyzós fürdőszoba, plusz két külön WC
•Felszereltség: Modern riasztórendszer és klíma, mosó-szárítógép, gázkazán, padlófűtés, egyedi hangulatvilágítás, elektromos redőnyök, teljesen gépesített konyha

Bérleti feltételek:
•Kéthavi kaució és első havi lakbér ellenében azonnal költözhető.
•Szerződés: Közjegyzői nyilatkozat a szerződés részeként
",https://www.alberlet.hu/kiado_alberlet/budapest-VI-kerulet-csengery-utca-57m2-2-szoba_744724,2.0,Lakás,15 000 Ft/hó,Padlófűtés,Legalább 1 év,"Berendezett, gépesített",1,Van,Udvari,,Legalább 1 év,Nem adott,,Felújított,Összkomfortos,,,27 000 Ft/hó,2024-04-15,,,,,,,,Terézváros,1,,,,,,,,,,,,
428,428,280000,"Jókai utca Budapest, VI. kerület",69,"{'Épület típusa': 'Lakás', 'Városrész': 'Belső-Terézváros', 'Kaució': '560 000 Ft', 'Közös költség': '17 000 Ft/hó', 'Rezsi költség': '20 000 Ft/hó', 'Fűtés': 'Cirkó', 'Berendezés': 'Részben berendezett, gépesített', 'Különnyíló szoba': '2', 'Emelet': '2', 'Kilátás': 'Utcai', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Klasszikus (1950 előtt épült)', 'Ingatlan állapota': 'Jó', 'Komfort fokozat': 'Összkomfortos', 'Konyhai szellőzés': 'Elszívó és ablak', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '3', 'Közös költségben': 'Épület takarítás, Szemétszállítás'}","
Lakás jellemzők: Mosogatógép Részletek
Kiadó a VI. kerületben a Jókai  utcában egy 2+1  szobás  ( 69 m2 )  VILÁGOS lakás. RÉSZBEN BERENDEZETT, GÉPESÍTETT ( mosogatógép is).    A lakásban konyha, három szoba ( kettő külön nyíló)  fürdőszoba, előszoba található.  

Videó a lakásról:  https://www.youtube.com/watch?v=aPJ_M_lDRl4             

 A közös költség 17700,- Ft,-  A többi fogyasztás mérőóra alapján fizetendő.                      
 Közlekedése kiváló, többek közt,  M3 metró, 4, 6 villamos, 72, 73-as troli.    
 Két havi kaució és egy havi bérleti díj ellenében költözhető.  Minimum bérlési idő 1 év.

In the VI.  district near to Nyugati sguare on Jokai. street a 69 sqm 2+1  rooms  flat   waiting for its new tenant for LONG TERM (min 1 year). THE FLAT PARTLY   FURNISHED and  EQUPPED (dish washer, A.C as well).  It includes a  kitchen,  three rooms ( two opens separately) , bathroom.    

 Video abou the flat:  https://www.youtube.com/watch?v=aPJ_M_lDRl4     

Common cost 17700.- HUF,-.  The rest of the utilities shell be paid  according based on conpsumption.          
Public transport is   metro line M3, tram No. 4, 6, trolley No. 72, 73.       
Shopping possibilites, restaurants  all around.         
 Location: NYUGATI SQUARE, OKTOGON.     
 With 2 months deposit and one month rental fee the flat can be moved in.
Környék: Nyugati tér
Közlekedés: 4-es 6-os villamos, Metro 3 kék
",https://www.alberlet.hu/kiado_alberlet/budapest-VI-kerulet-jokai-utca-69m2-3-szoba_692601,2.5,Lakás,17 000 Ft/hó,Cirkó,,"Részben berendezett, gépesített",2,,Utcai,,,Nem adott,Klasszikus (1950 előtt épült),Jó,Összkomfortos,Fizetős parkoló övezet,3,20 000 Ft/hó,,,,,Elszívó és ablak,,,"Épület takarítás, Szemétszállítás",Belső-Terézváros,2,,,,,,560 000 Ft,,,,,,
429,429,550000,"Pozsonyi út Budapest, XIII. kerület",50,"{'Épület típusa': 'Lakás', 'Kaució': '1 100 000 Ft', 'Közös költség': '35 000 Ft/hó', 'Rezsi költség': '15 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2023-11-17', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Lakóparki', 'Építés éve': '2023', 'Parkolási lehetőség': 'Mélygarázs', 'Épület szintjei': '9'}","
Lakás jellemzők: Fürdőkád Részletek
Kiadó a XIII. kerületben a Pozsonyi úton egy 50 nm-es 2 szobás légkondicionált lakás 10 nm-es erkéllyel!

Az ingatlan berendezett és gépesített.

Bosch márkájú a hűtő, mélyhűtő, főző, sütő, mikrosütő, mosogatógép, mosógép és szárítógép.

AA++ kategóriás, mennyezet hűtéses, padlófűtéses lakás. NGBS okosotthonnal vezérlehető a klíma, a redőny és a világítás, akár távolról is.

A Duna Pearl társasház 24 órás portaszolgálattal üzemel.

Itt nemcsak a lakást luxusát kapja, hanem azt a különleges életérzést, amelyet a prémium kategóriás anyagokból épített társasház, annak környezete, parkja, a budai hegyek és a Margitsziget látványa, a Duna-part, valamint a Pozsonyi út hangulata ad.

A társasházban üzemelő 4 csillagos superior szálloda (rooftop bárjával, éttermeivel és szolgáltatásaival), valamint a ház aljában megnyíló üzletek, étterem és vendéglátóegységek a garancia arra, hogy a színvonal folyamatosan javulni fog.

A lakáshoz a társasházban található, saját elektromos töltővel ellátott gépkocsi beálló külön megegyezés alapján bérelhető.

A bérlőknek a közvetítés DÍJTALAN! Keressen bizalommal 8-20:oo-ig akár hétvégén is!
Környék: Dunához közel, Jászai Mari tér, Nyugati tér, Oktogon, Parlament
",https://www.alberlet.hu/kiado_alberlet/budapest-XIII-kerulet-pozsonyi-ut-50m2-2-szoba_738175,2.0,Lakás,35 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",4,Van,Panorámás,1,Legalább 1 év,Nem adott,Lakóparki,,,Mélygarázs,9,15 000 Ft/hó,2023-11-17,Igen,2023,,,,,,,,,,,,,1 100 000 Ft,,,,,,
